vol,staging,line,genotype,treatment,stage_group,Intra-occular_distance (mm),Crown-rump (mm)
201124_ku55_e1_wt_veh,2764823,baseline,WT,VEH,1,,
201124_ku55_e5_wt_veh,2795985,baseline,WT,VEH,2,,
201210_ku52_e3_wt_veh,1892814,baseline,WT,VEH,1,,
200926_ku20_e1_wt_veh,2300447,baseline,WT,VEH,2,,
201127_ku23_e3_wt_veh,3209752,baseline,WT,VEH,2,,
200926_ku20_e2_wt_veh,1839896,baseline,WT,VEH,2,,
201127_ku22_e1_wt_veh,2500113,baseline,WT,VEH,1,,
201220_ku52_e2_wt_veh,2441412,baseline,WT,VEH,1,,
201123_ku23_e2_wt_veh,3030507,baseline,WT,VEH,2,,
201124_ku55_e7_wt_veh,2788393,baseline,WT,VEH,1,,
201127_ku22_e8_wt_veh,2607907,baseline,WT,VEH,1,,
201123_ku26_e4_wt_veh,2233767,baseline,WT,VEH,1,,
201127_ku55_e6_wt_veh,2687017,baseline,WT,VEH,1,,
201210_ku25_e7_wt_veh,1868138,baseline,WT,VEH,1,,
201210_ku55_e2_wt_veh,2607566,baseline,WT,VEH,1,,
201210_ku52_e4_wt_veh,2977457,baseline,WT,VEH,2,,
201124_ku55_e3_wt_veh,2713380,baseline,WT,VEH,1,,
201126_ku28_e2_wt_veh,2856507,baseline,WT,VEH,2,,
201124_ku28_e5_het_veh,2472059,mutants,HET,VEH,1,,
201127_ku22_e3_het_veh,2629689,mutants,HET,VEH,1,,
201127_ku28_e6_het_veh,2801651,mutants,HET,VEH,2,,
201210_ku25_e5_het_veh,2019460,mutants,HET,VEH,1,,
201124_ku28_e3_het_veh,2049740,mutants,HET,VEH,1,,
201127_ku22_e2_het_veh,2764755,mutants,HET,VEH,2,,
201123_ku26_e7_het_veh,2209167,mutants,HET,VEH,1,,
201210_ku25_e8_het_veh,2010663,mutants,HET,VEH,1,,
201210_ku25_e9_het_veh,1837916,mutants,HET,VEH,1,,
201130_ku28_e4_het_veh,2606772,mutants,HET,VEH,1,,
201127_ku22_e5_het_veh,2699608,mutants,HET,VEH,1,,
201127_ku26_e5_het_veh,3180816,mutants,HET,VEH,2,,
201210_ku52_e6_het_veh,2114598,mutants,HET,VEH,1,,
201210_ku52_e1_het_veh,2222503,mutants,HET,VEH,1,,
201210_ku25_e1_het_veh,1819245,mutants,HET,VEH,1,,
201210_ku52_e7_het_veh,2108828,mutants,HET,VEH,1,,
201210_ku49_e6_wt_eth,3055693,treatment,WT,ETH,2,,
201210_ku54_e3_wt_eth,2511881,treatment,WT,ETH,2,,
200926_ku19_e4_wt_eth,2060062,treatment,WT,ETH,2,,
201130_ku49_e7_wt_eth,2690564,treatment,WT,ETH,1,,
201210_ku49_e5_wt_eth,2797985,treatment,WT,ETH,2,,
200926_ku19_e3_wt_eth,1938993,treatment,WT,ETH,2,74.97,257.6
201127_ku27_e3_wt_eth,2852016,treatment,WT,ETH,2,,
201210_ku51_e1_wt_eth,1893115,treatment,WT,ETH,1,,
201210_ku49_e3_wt_eth,2780690,treatment,WT,ETH,1,,
201124_ku54_e7_wt_eth,2468190,treatment,WT,ETH,2,,
201210_ku50_e2_wt_eth,2394743,treatment,WT,ETH,1,,
201130_ku49_e1_wt_eth,2862233,treatment,WT,ETH,2,,
201210_ku50_e1_wt_eth,2240902,treatment,WT,ETH,1,,
201127_ku24_e1_wt_eth,2588671,treatment,WT,ETH,1,,
201127_ku54_e1_wt_eth,2428854,treatment,WT,ETH,1,,
201124_ku54_e5_het_eth,2853896,mut_treat,HET,ETH,2,,
201210_ku51_e9_het_eth,2881566,mut_treat,HET,ETH,2,,
201210_ku51_e10_het_eth,2810472,mut_treat,HET,ETH,2,,
201130_ku50_e3_het_eth,2846732,mut_treat,HET,ETH,2,,
201123_ku27_e4_het_eth,2432856,mut_treat,HET,ETH,2,,
200926_ku19_e7_het_eth,2201728,mut_treat,HET,ETH,2,,
201210_ku51_e4_het_eth,2432153,mut_treat,HET,ETH,2,,
201124_ku27_e1_het_eth,2543940,mut_treat,HET,ETH,1,,
201210_ku51_e5_het_eth,2098935,mut_treat,HET,ETH,1,,
201124_ku54_e6_het_eth,2534402,mut_treat,HET,ETH,2,,
201220_ku50_e4_het_eth,2900742,mut_treat,HET,ETH,2,,
201116_ku24_e4_het_eth,2007619,mut_treat,HET,ETH,1,,
201123_ku27_e2_het_eth,2399058,mut_treat,HET,ETH,1,,
201210_ku51_e7_het_eth,1940361,mut_treat,HET,ETH,1,,
201120_ku51_e8_het_eth,3038190,mut_treat,HET,ETH,2,,
201127_ku27_e7_het_eth,2087178,mut_treat,HET,ETH,1,,
